zone,,1
that-,1
that,,17
that's,8
that!,1
that,225
thanks?,1
thanks;,2
thanks.,2
thanks,2
thank,9
than,38
th's,1
th'art,1
th',,1
th',60
tetter,1
tether,1
test,,1
terms,,2
terms,3
term,2
tenures,,1
tent,1
tennis';,1
tenders,,1
tenders,2
tender,3
tend;,1
tend.,1
tend,,2
tenants.,1
tenantless,,1
tenable,1
ten,4
tempt,3
temple,1
tempest,,1
temperately,1
temperance,1
temper'd,1
tells,1
tell.,1
tell,,1
tell!,1
tell,36
teeth,,1
teeth,1
tediousness,1
tedious,2
tears;,1
tears-,1
tears,4
tear.,1
tear,2
teach,4
tax'd,1
tax,1
tatters,,1
taste,1
task,1
tarre,1
target;,1
tardy,2
tanner,1
tann'd,1
tame,,2
tame,1
talk'd,2
talk,2
tale,4
takes,,2
takes,6
taken,2
take,26
taints,1
tables.,1
tables!,1
table.,2
table!,1
table,4
ta'en,2
t'other,1
t',3
synod,1
sworn.,1
sworn,,1
sworn't.,1
swore,1
swords,,1
sword.,6
sword,,7
sword,4
swoopstake,1
swinish,1
swift,2
sweet;,1
sweet,,2
sweet!,1
sweet,18
sweep,2
sweaty,1
sweat,2
swearing,,2
swear.],1
swear.,1
swear't.,1
swear,1
swagg'ring,1
swaddling,1
sustain,1
suspiration,1
survivor,1
surrender,1
surmise.,1
surely,1
sure,,2
sure,6
suppress,2
supposal,1
supply,1
suppliance,1
supper?,1
supper.,1
supervise,,1
superfluous,1
sun;,1
sun.,2
sun,,1
sun,5
summons.,1
summit,2
sum.,1
sultry,,1
sultry,1
sulph'rous,1
sullies,1
suits,,1
suits,2
suiting,1
suit.,1
suit,1
sugar,1
suffers,3
suffer,3
suff'ring,1
suff'red,1
suddenly,1
sudden,5
suck'd,2
such;,1
such.,1
such-like,1
such,48
successive,1
succession.,1
succession,1
substance,2
subject;,1
subject,2
sty!,1
stung,1
stuff;,1
stuff,2
study,1
student.,1
stuck,,1
stubbornness.,1
stubborn,1
strutted,1
strumpet.,1
strumpet,1
struggling,1
strucken,1
struck.,2
struck,4
strongest,1
stronger,4
strong.,1
strong,3
strokes.,1
strings,1
strikes,1
strike,,1
strike,1
strife,,1
strict,2
strewments,,1
strew'd,1
strew,1
strength,,1
strength,1
streets;,1
streets,,1
stream.,1
straws;,1
straw.,1
straw,1
stranger,1
strangely?,1
strangely,,1
strange;,1
strange.,2
strange,,1
strange!,1
strange,4
straight.,4
stow'd.,1
stoups,1
stoup,1
story.,1
story,,1
story,1
storm,,1
stops;,1
stops.,1
stopping,1
stop,3
stooping,1
stood,,2
stood,3
stonish,1
stones,,1
stone.,1
stone,,1
