,1057
of?,1
cowards,1
hue,1
resolution,1
sicklied,1
enterprises,1
regard,1
awry,1
action.-,1
Soft,1
Ophelia!-,1
Nymph,,1
orisons,1
sins,1
rememb'red.,1
remembrances,1
longed,1
re-deliver.,1
compos'd,1
rich.,1
Rich,1
givers,1
unkind.,1
There,,1
Ha,,1
ha!,1
honest?,1
fair?,1
lordship?,1
admit,1
beauty.,1
beauty,,1
commerce,1
honesty?,1
truly;,1
transform,1
bawd,1
translate,1
likeness.,1
paradox,,1
believ'd,1
inoculate,1
stock,1
deceived.,1
nunnery!,1
breeder,1
sinners?,1
accuse,1
proud,,1
revengeful,,1
ambitious;,1
offences,1
beck,1
shape,,1
crawling,1
knaves,1
ways,1
Where's,1
home,,1
shut,1
nowhere,1
house.,1
plague,1
dowry:,1
ice,,1
calumny.,1
fool;,1
wise,1
monsters,1
go;,1
quickly,1
powers,,1
restore,1
paintings,1
enough.,1
yourselves,1
jig,,1
amble,,1
lisp;,1
nickname,1
wantonness,1
ignorance.,1
moe,1
marriages.,1
already-,1
live;,1
o'erthrown!,1
courtier's,,1
scholar's,,1
soldier's,,1
expectancy,1
mould,1
form,,1
observ'd,1
observers-,1
quite,,1
down!,1
ladies,1
deject,1
honey,1
bells,1
jangled,,1
harsh;,1
unmatch'd,1
feature,1
blown,1
Blasted,1
ecstasy.,1
see!,1
Love?,1
affections,1
tend;,1
spake,,1
lack'd,1
little,,1
melancholy,1
brood;,1
hatch,1
disclose,1
danger;,1
prevent,,1
determination,1
down:,1
tribute.,1
Haply,1
seas,,1
countries,1
different,,1
objects,,1
something-settled,1
origin,1
commencement,1
Sprung,1
love.-,1
grief.,1
conference.,1
confine,1
think.,1
Madness,1
unwatch'd,1
pronounc'd,1
trippingly,1
town,1
crier,1
lines.,1
gently;,1
torrent,,1
tempest,,1
say),1
whirlwind,1
acquire,1
beget,1
temperance,1
smoothness.,1
offends,1
robustious,1
periwig-pated,1
tatters,,1
rags,,1
split,1
cars,1
groundlings,,1
(for,1
part),1
capable,1
inexplicable,1
noise.,1
whipp'd,1
o'erdoing,1
Termagant.,1
out-herods,1
Herod.,1
tame,1
neither;,1
tutor.,1
Suit,1
action;,1
observance,,1
o'erstep,1
nature:,1
overdone,1
mirror,1
feature,,1
scorn,1
image,,1
pressure.,1
overdone,,1
unskilful,1
judicious,1
grieve;,1
o'erweigh,1
theatre,1
praise,,1
highly,1
profanely),,1
having,1
Christians,,1
Christian,,1
pagan,,1
strutted,1
bellowed,1
Nature's,1
journeymen,1
imitated,1
humanity,1
abominably.,1
reform'd,1
indifferently,1
reform,1
altogether!,1
clowns,1
barren,1
spectators,1
considered.,1
villanous,1
pitiful,1
work?,1
Bid,1
haste,,1
hasten,1
e'er,1
conversation,1
cop'd,1
flatter;,1
advancement,1
revenue,1
clothe,1
flatter'd?,1
candied,1
lick,1
absurd,1
pomp,,1
crook,1
hinges,1
knee,1
thrift,1
fawning.,1
distinguish,,1
scald,1
herself.,1
one,,1
suff'ring,1
nothing;,1
buffets,1
rewards,1
Hast,1
blest,1
commingled,1
pipe,1
finger,1
please.,1
passion's,1
slave,,1
heart's,1
core,,1
circumstance,,1
prithee,,1
seest,1
afoot,,1
comment,1
occulted,1
unkennel,1
imaginations,1
Vulcan's,1
stithy.,1
heedful,1
note;,1
rivet,1
seeming.,1
steal,1
detecting,,1
theft.,1
Sound,1
flourish.,1
Trumpets,1
Kettledrums.,1
march.,1
attendant,,1
Guard,1
carrying,1
torches.,1
idle.,1
Excellent,,1
faith;,1
chameleon's,1
dish.,1
promise-cramm'd.,1
capons,1
university,,1
accounted,1
actor.,1
enact?,1
enact,1
Caesar;,1
Capitol;,1
Brutus,1
brute,1
calf,1
patience.,1
metal,1
attractive.,1
King],1
[Sits,1
Ophelia's,1
feet.],1
country,1
matters?,1
maids',1
legs.,1
Nothing.,1
merry,,1
I?,1
jig-maker!,1
merry?,1
's,1
hours.,1
months,,1
suit,1
sables.,1
ago,,1
forgotten,1
yet?,1
outlive,1
by'r,1
build,1
churches,1
hobby-horse,,1
'For,1
hobby-horse,1
forgot!',1
Hautboys,1
enters.,1
lovingly;,1
embracing,1
kneels,,1
protestation,1
declines,1
neck.,1
lays,1
bank,1
flowers.,1
She,,1
asleep,,1
Anon,1
fellow,,1
pours,1
sleeper's,1
returns,,1
action.,1
Mutes,,1
condole,1
carried,1
wooes,1
gifts;,1
unwilling,1
accepts,1
miching,1
malhecho;,1
mischief.,1
Belike,1
Prologue.,1
counsel;,1
they'll,1
meant?,1
asham'd,1
he'll,1
means.,1
naught,,1
naught!,1
Pro.,1
stooping,1
clemency,,1
patiently.,1
prologue,,1
posy,1
ring?,1
woman's,1
[two,1
as],1
Full,1
Phoebus',1
cart,1
Tellus',1
orbed,1
dozed,1
moons,1
borrowed,1
sheen,1
thirties,1
been,,1
hearts,,1
Hymen,1
Unite,1
comutual,1
sacred,1
bands.,1
journeys,1
moon,1
done!,1
late,,1
distrust,1
Yet,,1
distrust,,1
Discomfort,1
must;,1
women's,1
quantity,,1
aught,,1
extremity.,1
siz'd,,1
littlest,1
doubts,1
fear;,1
operant,1
functions,1
behind,,1
Honour'd,,1
belov'd,,1
thou-,1
confound,1
breast.,1
accurst!,1
wed,1
killed,1
Wormwood,,1
wormwood!,1
instances,1
respects,1
determine,1
break.,1
Purpose,1
birth,,1
validity;,1
unripe,,1
sticks,1
tree,,1
fill,1
unshaken,1
mellow,1
debt.,1
propose,,1
ending,,1
lose.,1
enactures,1
destroy.,1
revels,,1
lament;,1
Grief,1
joys,,1
grieves,,1
slender,1
aye,,1
change;,1
prove,,1
favourite,1
flies,,1
advanc'd,1
enemies;,1
hollow,1
try,,1
Directly,1
seasons,1
orderly,1
begun,,1
wills,1
contrary,1
run,1
devices,1
overthrown;,1
ends,1
wed;,1
food,,1
light,,1
Sport,1
repose,1
desperation,1
anchor's,1
scope,,1
opposite,1
blanks,1
destroy,,1
lasting,1
strife,,1
If,,1
widow,,1
wife!,1
deeply,1
sworn.,1
Sweet,,1
dull,,1
beguile,1
Sleep,1
rock,1
[He],1
twain!,1
protest,1
methinks.,1
argument?,1
jest;,1
Mousetrap.',1
how?,1
Tropically.,1
Vienna.,1
Gonzago,1
duke's,1
name;,1
Baptista.,1
anon.,1
touches,1
gall'd,1
jade,1
winch;,1
withers,1
unwrung.,1
Lucianus.,1
Lucianus,,1
chorus,,1
interpret,1
puppets,1
dallying.,1
keen,,1
keen.,1
groaning,1
edge.,1
better,,1
worse.,1
husbands.-,1
Begin,,1
murtherer.,1
Pox,,1
damnable,1
faces,,1
begin!,1
croaking,1
raven,1
bellow,1
Luc.,1
apt,,1
drugs,1
agreeing;,1
Confederate,1
season,,1
seeing;,1
mixture,1
midnight,1
collected,,1
Hecate's,1
ban,1
blasted,,1
infected,,1
magic,1
dire,1
usurp,1
immediately.,1
Pours,1
poisons,1
name's,1
Gonzago.,1
story,1
extant,,1
written,1
Italian.,1
gets,1
Gonzago's,1
wife.,1
rises.,1
frighted,1
fire?,1
light!,1
Lights,,1
lights,,1
lights!,1
strucken,1
deer,1
weep,,1
hart,1
ungalled,1
sleep:,1
forest,1
feathers-,1
Turk,1
me-with,1
Provincial,1
roses,1
raz'd,1
shoes,,1
fellowship,1
players,,1
Half,1
share.,1
Damon,1
dear,,1
realm,1
dismantled,1
reigns,1
very,,1
very-,1
pajock.,1
rhym'd.,1
ghost's,1
pound!,1
Didst,1
perceive?,1
poisoning?,1
Aha!,1
belike,1
perdy.,1
history.,1
sir-,1
him?,1
retirement,,1
marvellous,1
distemper'd.,1
richer,1
doctor;,1
purgation,1
plunge,1
pronounce.,1
courtesy,1
breed.,1
commandment;,1
answer;,1
wit's,1
diseas'd.,1
say-,1
says:,1
behaviour,1
admiration.,1
wonderful,1
stonish,1
sequel,1
admiration?,1
Impart.,1
us?,1
pickers,1
stealers!,1
distemper?,1
surely,1
bar,1
griefs,1
friend.,1
advancement.,1
succession,1
'while,1
grass,1
grows'-,1
proverb,1
musty.,1
recorders.,1
withdraw,1
toil?,1
bold,,1
unmannerly.,1
easy,1
lying.,1
Govern,1
ventages,1
thumbs,,1
eloquent,1
stops.,1
utt'rance,1
harmony.,1
skill.,1
stops;,1
mystery;,1
lowest,1
compass;,1
music,,1
easier,1
Call,1
fret,1
cloud,1
camel?,1
camel,1
Methinks,1
back'd,1
by-and-by.-,1
bent.-,1
'By-and-by',1
easily,1
said.-,1
witching,1
churchyards,1
yawn,,1
breathes,1
Contagion,1
quake,1
Nero,1
firm,1
bosom.,1
unnatural;,1
hypocrites-,1
somever,1
shent,,1
seals,1
consent!,1
range.,1
forthwith,1
dispatch,,1
along,1
estate,1
endure,1
Hazard,1
hourly,1
lunacies.,1
provide.,1
religious,1
peculiar,1
strength,1
noyance;,1
weal,1
rests,1
many.,1
cesse,1
alone,,1
gulf,1
massy,1
Fix'd,1
highest,1
mount,,1
huge,1
lesser,1
mortis'd,1
adjoin'd;,1
small,1
annexment,,1
consequence,,1
Attends,1
boist'rous,1
ruin.,1
groan.,1
Arm,1
th',,1
speedy,1
voyage;,1
fetters,1
free-footed.,1
convey,1
process.,1
tax,1
home;,1
wisely,1
partial,,1
o'erhear,1
vantage.,1
liege.,1
smells,1
primal,1
eldest,1
curse,1
upon't,,1
sharp,1
defeats,1
intent,,1
bound,,1
pause,1
neglect.,1
thicker,1
rain,1
heavens,1
snow?,1
Whereto,1
confront,1
twofold,1
force,,1
forestalled,1
down?,1
past.,1
turn?,1
'Forgive,1
murther'?,1
possess'd,1
effects,1
murther-,1
ambition,,1
retain,1
corrupted,1
Offence's,1
gilded,1
shove,1
justice,,1
prize,1
Buys,1
law;,1
above.,1
shuffling;,1
compell'd,,1
teeth,1
faults,,1
evidence.,1
rests?,1
Try,1
repentance,1
can.,1
repent?,1
wretched,1
state!,1
death!,1
limed,1
struggling,1
engag'd!,1
angels!,1
assay.,1
Bow,,1
stubborn,1
knees;,1
strings,1
sinews,1
new-born,1
babe!,1
kneels.,1
pat,,1
praying;,1
reveng'd.,1
scann'd.,1
sole,1
hire,1
salary,,1
grossly,,1
bread,,1
blown,,1
flush,1
May;,1
audit,1
stands,,1
reveng'd,,1
seasoned,1
passage?,1
Up,,1
hent.,1
drunk,1
asleep;,1
rage;,1
salvation,1
in't-,1
trip,1
kick,1
goes.,1
stays.,1
physic,1
prolongs,1
days.,1
[rises],1
below.,1
Words,1
Queen's,1
pranks,1
with,,1
screen'd,1
Much,1
heat,1
here.,1
Withdraw;,1
[Polonius,1
hides,1
arras.],1
rood,,1
(would,1
so!),1
budge,1
inmost,1
help!,1
[draws],1
rat?,1
Dead,1
ducat,,1
[Makes,1
slain!,1
rash,1
deed-,1
bad,,1
[Lifts,1
intruding,1
fool,,1
farewell!,1
better.,1
find'st,1
busy,1
danger.,1
wringing,1
hinds.,1
wring,1
penetrable,1
stuff;,1
braz'd,1
bulwark,1
dar'st,1
wag,1
blurs,1
blush,1
modesty;,1
Calls,1
hypocrite;,1
innocent,1
blister,1
dicers',1
oaths.,1
contraction,1
plucks,1
religion,1
rhapsody,1
words!,1
Heaven's,1
glow;,1
solidity,1
compound,1
tristful,1
doom,,1
thought-sick,1
roars,1
thunders,1
index?,1
th's,1
picture,,1
counterfeit,1
presentment,1
brothers.,1
seated,1
brow;,1
Hyperion's,1
curls;,1
front,1
Mars,,1
threaten,1
herald,1
Mercury,1
New,1
lighted,1
heaven-kissing,1
hill:,1
combination,1
seal,1
husband.,1
follows.,1
husband,,1
mildew'd,1
Blasting,1
eyes?,1
feed,,1
batten,1
moor?,1
Ha!,1
love;,1
heyday,1
it's,1
humble,,1
waits,1
judgment;,1
Sense,1
Else,1
motion;,1
apoplex'd;,1
err,,1
ecstacy,1
thrall'd,1
reserv'd,1
difference.,1
was't,1
cozen'd,1
hoodman-blind?,1
Eyes,1
feeling,,1
Ears,1
smelling,1
sans,1
mope.,1
blush?,1
mutine,1
matron's,1
melt,1
Proclaim,1
compulsive,1
ardour,1
frost,1
actively,1
burn,,1
panders,1
turn'st,1
grained,1
spots,1
tinct.,1
enseamed,1
Stew'd,1
honeying,1
nasty,1
sty!,1
twentieth,1
tithe,1
kings;,1
cutpurse,1
rule,,1
shelf,1
pocket!,1
nightgown.,1
shreds,1
patches!-,1
hover,1
wings,,1
guards!,1
figure?,1
mad!,1
chide,,1
laps'd,1
important,1
acting,1
command?,1
say!,1
forget.,1
whet,1
blunted,1
sits.,1
weakest,1
strongest,1
works.,1
vacancy,,1
encorporal,1
discourse?,1
Forth,1
peep;,1
alarm,,1
bedded,1
hairs,,1
excrements,,1
Start,1
beat,1
distemper,1
Sprinkle,1
cool,1
patience!,1
look?,1
glares!,1
conjoin'd,,1
preaching,1
stones,,1
capable.-,1
Lest,1
convert,1
stern,1
effects.,1
colour-,1
there!,1
steals,1
liv'd!,1
portal!,1
coinage,1
brain.,1
bodiless,1
creation,1
Ecstasy?,1
pulse,1
temperately,1
healthful,1
utt'red.,1
test,,1
reword;,1
gambol,1
from.,1
flattering,1
trespass,1
speaks.,1
skin,1
film,1
ulcerous,1
Whiles,1
mining,1
within,,1
Infects,1
unseen.,1
Confess,1
Repent,1
past;,1
come;,1
compost,1
ranker.,1
Forgive,1
virtue;,1
fatness,1
pursy,1
beg-,1
curb,1
woo,1
cleft,1
twain.,1
worser,1
purer,1
half,,1
night-,1
uncle's,1
Assume,1
monster,,1
custom,,1
habits,1
evil,,1
likewise,1
frock,1
aptly,1
Refrain,1
easiness,1
abstinence;,1
easy;,1
[master],1
devil,,1
potency.,1
night;,1
desirous,1
blest,,1
repent;,1
punish,1
minister.,1
kind;,1
begins,,1
worse,1
behind.,1
lady.,1
do:,1
bloat,1
Pinch,1
cheek;,1
mouse;,1
reechy,1
kisses,,1
paddling,1
fingers,,1
ravel,1
essentially,1
craft.,1
sober,,1
wise,,1
paddock,,1
bat,,1
gib,1
concernings,1
hide?,1
despite,1
secrecy,,1
Unpeg,1
house's,1
top,,1
birds,1
fly,,1
famous,1
conclusions,,1
creep,1
assur'd,,1
forgot!,1
concluded,1
seal'd;,1
schoolfellows,,1
Whom,1
adders,1
fang'd,,1
mandate;,1
marshal,1
knavery.,1
enginer,1
Hoist,1
petar;,1
't,1
delve,1
yard,1
mines,1
line,1
crafts,1
directly,1
packing.,1
lug,1
neighbour,1
room.-,1
night.-,1
counsellor,1
secret,,1
grave,,1
peating,1
Then],1
tugging,1
sighs.,1
heaves,1
translate;,1
son?,1
Bestow,1
while.,1
Guildenstern.],1
to-night!,1
Gertrude?,1
contend,1
mightier.,1
stir,,1
Whips,1
rapier,,1
rat,,1
rat!',1
brainish,1
unseen,1
deed!,1
liberty,1
threats,1
answer'd?,1
short,,1
restrain'd,,1
haunt,1
owner,1
disease,,1
divulging,,1
gone?,1
apart,1
kill'd;,1
ore,1
Among,1
mineral,1
metals,1
Shows,1
pure.,1
weeps,1
mountains,1
ship,1
hence;,1
excuse.,1
both,,1
aid.,1
slain,,1
dragg'd,1
out;,1
[Rosencrantz,1
Guildenstern].,1
untimely,1
[So,1
slander-],1
diameter,,1
blank,,1
Transports,1
poisoned,1
shot-,1
miss,1
woundless,1
air.-,1
discord,1
dismay.,1
Safely,1
stow'd.,1
noise?,1
body?,1
Compounded,1
dust,,1
kin.,1
'tis,,1
what?,1
counsel,,1
Besides,,1
demanded,1
replication,1
soaks,1
countenance,,1
rewards,,1
authorities.,1
officers,1
corner,1
jaw;,1
mouth'd,,1
Swallowed.,1
glean'd,,1
squeezing,1
thing-,1
Hide,1
fox,,1
loose!,1
multitude,,1
judgment,,1
offender's,1
offence.,1
sending,1
Deliberate,1
Diseases,1
appliance,1
reliev'd,,1
befall'n?,1
bestow'd,,1
Without,,1
guarded,,1
where's,1
supper.,1
supper?,1
Where?,1
eats,,1
eaten.,1
convocation,1
politic,1
worms,1
emperor,1
diet.,1
maggots.,1
lean,1
beggar,1
service-,1
dishes,,1
alas!,1
worm.,1
progress,1
beggar.,1
Send,1
messenger,1
nose,1
stair,,1
deed,,1
especial,1
safety,-,1
dearly,1
grieve,1
done,-,1
quickness.,1
bark,1
ready,1
associates,1
bent,1
Good.,1
knew'st,1
purposes.,1
cherub,1
Father,1
wife,1
flesh;,1
foot;,1
aboard.,1
Delay,1
leans,1
hold'st,1
aught,-,1
thereof,1
cicatrice,1
raw,1
red,1
Pays,1
homage,1
us,-,1
mayst,1
process,,1
congruing,1
hectic,1
rages,,1
cure,1
Howe'er,1
haps,,1
joys,1
begun.,1
Near,1
Army,1
Captain,,1
greet,1
license,1
Craves,1
conveyance,1
rendezvous.,1
eye;,1
softly,1
Captain].,1
[Guildenstern,],1
these?,1
purpos'd,,1
Poland.,1
commands,1
frontier?,1
addition,,1
name.,1
ducats,,1
five,,1
Pole,1
ranker,1
rate,,1
sold,1
fee.,1
garrison'd.,1
souls,1
debate,1
straw.,1
imposthume,1
wealth,1
peace,,1
breaks,,1
dies.-,1
Will't,1
before.,1
occasions,1
spur,1
market,1
feed?,1
Sure,1
large,1
discourse,,1
Looking,1
after,,1
capability,1
godlike,1
fust,1
unus'd.,1
Bestial,1
oblivion,,1
craven,1
scruple,1
precisely,1
event,-,1
quarter'd,,1
coward,-,1
thing's,1
do,',1
strength,,1
Examples,1
exhort,1
Witness,1
army,1
mass,1
Led,1
divine,1
puff'd,,1
mouths,1
invisible,1
event,,1
Exposing,1
unsure,1
dare,,1
eggshell.,1
Rightly,1
argument,,1
greatly,1
quarrel,1
straw,1
honour's,1
stake.,1
klll'd,,1
stain'd,,1
Excitements,1
imminent,1
fantasy,1
beds,,1
plot,1
numbers,1
tomb,1
slain?,1
forth,,1
bloody,,1
worth!,1
Gentleman.,1
importunate,,1
distract.,1
mood,1
pitied.,1
tricks,1
hems,,1
beats,1
Spurns,1
enviously,1
straws;,1
doubt,,1
unshaped,1
hearers,1
collection;,1
aim,1
botch,1
thoughts;,1
Which,,1
winks,1
nods,1
gestures,1
Indeed,1
unhappily.,1
spoken,1
with;,1
strew,1
Dangerous,1
conjectures,1
ill-breeding,1
minds.,1
Gentleman.],1
sin's,1
is),1
Prologue,1
artless,1
jealousy,1
spills,1
fearing,1
spilt.,1
distracted.,1
beauteous,1
one?,1
cockle,1
bat,1
and',1
staff,1
sandal,1
shoon.,1
song?,1
gone;,1
grass-green,1
turf,,1
stone.,1
Ophelia-,1
White,1
shroud,1
snow-,1
flowers;,1
bewept,1
showers.,1
pretty,1
dild,1
owl,1
baker's,1
are,,1
table!,1
this;,1
ask,,1
this:,1
Valentine's,1
bedtime,,1
window,,1
Valentine.,1
donn'd,1
clo'es,1
dupp'd,1
chamber,1
door,,1
departed,1
Pretty,1
la,,1
Gis,1
Charity,,1
fie,1
Cock,,1
Quoth,1
'Before,1
tumbled,1
wed.',1
answers:,1
'So,1
'a',1
sun,,1
bed.',1
patient;,1
counsel.,1
coach!,1
close;,1
springs,1
sorrows,1
spies.,1
battalions!,1
First,,1
Next,,1
remove;,1
people,1
muddied,,1
Thick,1
unwholesome,1
whispers,1
Polonius',1
greenly,1
hugger-mugger,1
inter,1
Poor,1
Divided,1
fair-judgment,,1
Pictures,1
beasts;,1
Last,,1
containing,1
buzzers,1
infect,1
Feeds,1
speeches,1
necessity,,1
beggar'd,,1
stick,1
arraign,1
murd'ring,1
piece,,1
places,1
Give,,1
superfluous,1
Switzers?,1
guard,1
Yourself,,1
lord:,1
ocean,,1
overpeering,1
Eats,1
flats,1
impetuous,1
riotous,1
O'erbears,1
offices.,1
rabble,1
Antiquity,1
forgot,,1
known,,1
ratifiers,1
props,1
'Choose,1
we!,1
Caps,,1
applaud,1
'Laertes,1
king!,1
cry!,1
counter,,1
dogs!,1
broke.,1
king?-,1
Sirs,,1
staid,1
without.,1
in!,1
Followers.],1
father!,1
Calmly,,1
drop,1
bastard;,1
Cries,1
cuckold,1
brands,1
harlot,1
unsmirched,1
brows,1
rebellion,1
giantlike?,1
person.,1
hedge,1
peep,1
would,,1
Acts,1
Dead.,1
fill.,1
dead?,1
juggled,1
with:,1
allegiance!,1
blackest,1
Conscience,1
profoundest,1
pit!,1
damnation.,1
stand,,1
negligence,,1
comes;,1
reveng'd,1
throughly,1
certainty,1
swoopstake,1
foe,,1
Winner,1
loser?,1
enemies.,1
ope,1
life-rend'ring,1
pelican,,1
Repast,1
child,1
guiltless,1
sensibly,1
pierce,1
within:,1
'Let,1
in.',1
brains!,1
seven,1
Burn,1
eye!,1
paid,1
weight,1
beam.,1
May!,1
Dear,1
maid's,1
life?,1
Nature,1
instance,1
barefac'd,1
bier,1
(Hey,1
non,1
hey,1
nony),1
rain'd,1
tear.,1
dove!,1
Hadst,1
wits,,1
persuade,1
'A-down,1
a-down,,1
a-down-a.',1
wheel,1
steward,,1
master's,1
nothing's,1
rosemary,,1
pansies,,1
document,1
madness!,1
fitted.,1
fennel,1
columbines.,1
herb,1
Sundays.,1
difference!,1
daisy.,1
violets,,1
wither'd,1
died.,1
bonny,1
Robin,1
joy.,1
Thought,1
affliction,,1
itself,,1
turns,1
prettiness.,1
deathbed;,1
flaxen,1
poll.,1
moan.,1
'a'mercy,1
God.,1
wi',,1
God?,1
commune,1
apart,,1
collateral,1
touch'd,,1
give,,1
satisfaction;,1
jointly,1
labour,1
due,1
content.,1
obscure,1
funeral-,1
trophy,,1
hatchment,1
rite,1
formal,1
ostentation,-,1
Cry,1
call't,1
shall;,1
axe,1
fall.,1
VI.,1
Servant.,1
Seafaring,1
Attendant.],1
greeted,,1
Sailors.,1
an't,1
letter,1
sir,-,1
ambassador,1
England-,1
(reads,1
letter),1
'Horatio,,1
overlook'd,1
pirate,1
appointment,1
chase.,1
Finding,1
compelled,1
valour,,1
grapple,1
boarded,1
clear,1
ship;,1
became,1
prisoner.,1
dealt,1
thieves,1
mercy;,1
did:,1
sent,,1
dumb;,1
am.,1
'He,1
knowest,1
letters,,1
speedier,1
VII.,1
acquittance,1
seal,,1
slain,1
Pursued,1
appears.,1
proceeded,1
feats,1
crimeful,1
safety,,1
wisdom,,1
else,,1
mainly,1
stirr'd,1
perhaps,,1
seein,1
unsinew'd,,1
strong.,1
Lives,1
myself,-,1
plague,,1
which,-,1
She's,1
conjunctive,1
sphere,,1
public,1
gender,1
dipping,1
Would,,1
turneth,1
wood,1
stone,,1
Convert,1
graces;,1
arrows,,1
slightly,1
timber'd,1
wind,,1
reverted,1
aim'd,1
driven,1
praises,1
Stood,1
challenger,1
mount,1
perfections.,1
shook,1
danger,,1
pastime.,1
ourself,,1
imagine-,1
Messenger,1
letters.,1
news?,1
Letters,,1
Hamlet:,1
Majesty;,1
say;,1
Claudio;,1
[Reads]'High,1
Mighty,-You,1
naked,1
kingly,1
(first,1
asking,1
thereunto),1
recount,1
return.,1
'HAMLET.',1
mean?,1
back?,1
abuse,,1
thing?,1
Know,1
hand?,1
'Naked!',1
postscript,1
'alone.',1
advise,1
warms,1
sickness,1
teeth,,1
'Thus,1
didest,1
thou.',1
otherwise?),,1
rul'd,1
o'errule,1
checking,1
voyage,,1
exploit,1
ripe,1
device,,1
fall;,1
uncharge,1
rul'd;,1
devise,1
organ.,1
travel,1
hearing,,1
shine,,1
regard,,1
unworthiest,1
siege.,1
riband,1
youth-,1
needfull,1
careless,1
livery,1
Thin,1
settled,1
sables,1
weeds,,1
graveness.,1
Normandy.,1
serv'd,1
against,,1
French,,1
horseback;,1
gallant,1
grew,1
seat,,1
doing,1
incorps'd,1
demi-natur'd,1
beast.,1
topp'd,1
forgery,1
tricks,,1
did.,1
Norman,1
was't?,1
Norman.,1
Lamound.,1
same.,1
broach,1
gem,1
nation.,1
masterly,1
defence,,1
rapier,1
especially,,1
'twould,1
match,1
scrimers,1
swore,1
guard,,1
oppos'd,1
envenom,1
painting,1
sorrow,,1
heart,',1
ask,1
passages,1
proof,,1
qualifies,1
spark,1
fire,1
wick,1
snuff,1
abate,1
goodness,1
goodness,,1
growing,1
plurisy,,1
too-much.,1
would;,1
'would',1
changes,,1
abatements,1
delays,1
tongues,,1
accidents;,1
'should',1
spendthrift,1
hurts,1
easing.,1
ulcer!,1
back.,1
words?,1
cut,1
church!,1
sanctuarize;,1
bounds.,1
close,1
chamber.,1
home.,1
praise,1
varnish,1
Frenchman,1
He,,1
remiss,,1
contriving,,1
peruse,1
foils;,1
shuffling,,1
unbated,,1
practice,,1
Requite,1
do't!,1
anoint,1
bought,1
mountebank,,1
dip,1
knife,1
cataplasm,1
rare,,1
Collected,1
simples,1
scratch'd,1
contagion,,1
slightly,,1
Weigh,1
convenience,1
shape.,1
performance.,1
assay'd.,1
project,1
second,,1
cunnings-,1
ha't!,1
motion,1
dry-,1
bouts,1
end-,1
prepar'd,1
chalice,1
nonce;,1
whereon,1
sipping,,1
chance,1
venom'd,1
stuck,,1
there.-,1
stay,,1
noise,,1
queen?,1
tread,1
another's,1
heel,,1
sister's,1
drown'd,,1
Drown'd!,1
where?,1
willow,1
aslant,1
brook,,1
hoar,1
glassy,1
stream.,1
fantastic,1
garlands,1
crowflowers,,1
nettles,,1
daisies,,1
purples,,1
shepherds,1
grosser,1
name,,1
maids,1
pendant,1
boughs,1
coronet,1
Clamb'ring,1
hang,,1
envious,1
sliver,1
broke,,1
weedy,1
trophies,1
weeping,1
brook.,1
clothes,1
mermaid-like,,1
chaunted,1
snatches,1
tunes,,1
incapable,1
distress,,1
indued,1
element;,1
garments,,1
Pull'd,1
melodious,1
muddy,1
drown'd?,1
Drown'd,,1
drown'd.,1
tears;,1
trick;,1
holds,,1
blaze,1
folly,1
douts,1
churchyard.,1
spades,1
pickaxes].,1
burial,1
wilfully,1
seeks,1
salvation?,1
crowner,1
defence?,1
se,1
offendendo;,1
else.,1
point:,1
wittingly,,1
argues,1
act;,1
branches-it,1
perform;,1
argal,,1
wittingly.,1
Goodman,1
Delver!,1
water;,1
man;,1
nill,1
goes-,1
drowns,1
shortens,1
law?,1
is't-,1
crowner's,1
quest,1
law.,1
ha',1
an't?,1
gentlewoman,,1
say'st!,1
folk,1
count'nance,1
even-Christen.,1
spade!,1
ancient,1
gard'ners,,1
ditchers,,1
grave-makers.,1
Adam's,1
profession.,1
gentleman?,1
heathen?,1
Scripture?,1
Scripture,1
Adam,1
digg'd.,1
answerest,1
thyself-,1
gallows-maker;,1
frame,1
outlives,1
tenants.,1
ill.,1
built,1
church.,1
To't,1
unyoke.,1
tell!,1
To't.,1
Mass,,1
tell.,1
Cudgel,1
mend,1
pace,1
beating;,1
ask'd,1
next,,1
grave-maker.',1
houses,1
lasts,1
doomsday.,1
Yaughan;,1
stoup,1
liquor.,1
Second,1
Clown.],1
[Clown,1
digs,1
sings.,1
sweet;,1
contract-,1
O-,1
for-,1
behove,,1
there-,1
nothing-,1
Has,1
business,,1
sings,1
grave-making?,1
Custom,1
Property,1
easiness.,1
employment,1
daintier,1
stealing,1
steps,1
clawed,1
clutch,,1
shipped,1
intil,1
such.,1
[Throws,1
jowls,1
ground,as,1
Cain's,1
jawbone,,1
Politician,,1
o'erreaches;,1
circumvent,1
might,,1
morrow,,1
lord?',1
Such-a-one,,1
Such-a-one's,1
it-,1
Lady,1
Worm's,,1
chapless,,1
knock'd,1
mazzard,1
sexton's,1
spade.,1
revolution,,1
see't.,1
bones,1
breeding,1
loggets,1
ache,1
on't.,1
pickaxe,1
shrouding,1
sheet;,1
Pit,1
Throws,1
[another,1
skull].,1
lawyer?,1
quiddits,1
quillets,,1
cases,,1
tenures,,1
tricks?,1
knock,1
sconce,1
dirty,1
shovel,,1
battery?,1
Hum!,1
buyer,1
statutes,,1
recognizances,,1
vouchers,,1
recoveries.,1
recovery,1
recoveries,,1
dirt?,1
vouchers,1
vouch,1
purchases,,1
breadth,1
indentures?,1
conveyances,1
box;,1
inheritor,1
jot,1
parchment,1
