,1057
Leave,4
Fare,4
pale,4
table,4
Yes,,4
villain!,4
lord-,4
Swear.,4
we'll,4
hither,,4
said,,4
welcome.,4
earth,,4
Here,,4
arms,4
out,,4
fingers,4
touch,4
no,,4
another,4
gentleman.,4
out.,4
b',4
Ophelia?,4
Mad,4
took,4
turn'd,4
violent,4
but,,4
mad.,4
judgment,4
[with,4
found,4
sends,4
Whereon,4
pass,4
down.,4
madness,,4
lady,,4
me;,4
ear.,4
fain,4
Into,4
try,4
ten,4
daughter.,4
honesty,4
Fortune's,4
one.,4
ambition,4
Nay,4
world,,4
laugh,4
hands,,4
French,4
fly,4
straight.,4
play,,4
speaks,4
black,4
Pyrrhus,4
sword,4
fall,4
more!,4
Players,4
not?,4
I!,4
passion,,4
cause,,4
damn'd,4
pate,4
murther,4
conscience,4
heavy,4
right,4
fair,,4
fool,4
rose,4
feed,4
wear,4
now.,4
kill'd,4
kill,4
imports,4
me!,4
shortly,4
get,4
pardon,4
mother!,4
stronger,4
Tell,4
Mother,,4
help,,4
end.,4
'Twere,4
meet.,4
Should,4
done.,4
lov'd,4
(sings),4
bore,4
sing,4
Christian,4
wager,4
skull,4
lordship,4
Lord.,4
Fort.,4
nephew,3
king.,3
Priest.,3
Denmark,,3
platform,3
meet,3
appear'd,3
sight,,3
'twill,3
nights,3
t',3
myself,,3
Peace!,3
King?,3
Together,3
sometimes,3
offended.,3
eyes.,3
before,,3
gross,3
state.,3
sore,3
Does,3
image,3
seal'd,3
law,3
stood,3
return'd,3
list,3
recover,3
strong,3
terms,3
main,3
chief,3
sort,3
eye.,3
stands,3
arms.,3
ease,,3
cock,3
throat,3
god,3
herein,3
'gainst,3
Break,3
up;,3
to-night,3
spirit,,3
do't,,3
Flourish.,3
sister,3
Lords,3
grief,,3
kingdom,3
wisest,3
sometime,3
delight,3
wife;,3
frame,,3
Importing,3
Who,,3
hears,3
Farewell,,3
have,,3
favour,3
return,3
bend,3
France,3
Polonius?,3
slow,3
hang,3
off,,3
lives,3
solemn,3
black,,3
breath,,3
shapes,3
understanding,3
cheer,3
loving,3
heart;,3
uses,3
grows,3
this!,3
months,3
much,,3
winds,3
yet,,3
month,,3
salt,3
forget,3
change,3
you.-,3
what,,3
forth,3
marriage,3
methinks,3
goodly,3
father?,3
ear,,3
God's,3
gentlemen,3
whilst,3
fear,,3
dreadful,3
comes.,3
none.,3
sound,3
up.,3
countenance,3
was,,3
to-night.,3
assume,3
peace.,3
honour.,3
men's,3
Think,3
inward,3
wide,3
loves,3
himself,,3
safety,3
chaste,3
maid,3
Virtue,3
Too,3
shame!,3
tongue,,3
friend,,3
remember,3
audience,3
them?,3
phrase,,3
you'll,3
tender,3
heaven.,3
fire.,3
Believe,3
mere,3
pious,3
obey,,3
air.,3
wont,3
mind,,3
Makes,3
pith,3
Being,3
grace,,3
censure,3
often,3
defend,3
shape,3
royal,3
burst,3
bones,,3
disposition,3
do?,3
desire,3
waves,3
tempt,3
base,3
looks,3
lets,3
follow.,3
Something,3
V.,3
hearing,3
certain,3
crimes,3
prison,3
start,3
ears,3
didst,3
is;,3
revenge.,3
soul!,3
wit,,3
wretch,3
angel,3
bed,3
horrible!,3
adieu!,3
heaven!,3
else?,3
ghost,,3
holds,3
Yea,,3
commandment,3
(within),3
villain,3
right!,3
circumstance,3
desires,3
Saint,3
faith.,3
already.,3
under,3
Swear,3
[beneath],3
wondrous,3
(As,3
perchance,3
seeing,3
thus,,3
need,3
express,3
Polonius,3
Reynaldo.,3
drift,3
'I,3
breathe,3
liberty,,3
fiery,3
mass,,3
enter,3
wi',3
music.,3
matter?,3
piteous,3
truly,3
arm,,3
falls,3
thrice,3
over,3
doors,3
property,3
meant,3
hide,3
Sith,3
entreat,3
vouchsafe,3
hope,,3
sovereign,3
Thanks,,3
Attendants].,3
Polonius.],3
friends.,3
brother,3
borne,3
hand,,3
Majesty.,3
likes,3
read,,3
Were,3
matter,,3
mad,,3
foolish,3
then.,3
rather,3
white,3
her?,3
awhile.,3
play'd,3
prince,,3
short,3
behind,3
presently.,3
anything,3
except,3
save,3
sir!,3
indifferent,3
parts,3
Denmark's,3
count,3
quality,3
justly,3
confession,3
golden,3
woman,3
service.,3
lady,3
keeps,3
cry,3
longer,3
wrong,3
Is't,3
carry,3
lest,3
yours.,3
scene,3
judge,3
Lady,,3
to't,3
modesty,3
memory,,3
see,,3
finds,3
Pyrrhus',3
proof,3
He's,3
Say,3
seen,,3
treason,3
hear?,3
After,3
Can,3
in't,,3
slave,3
visage,3
ears.,3
calls,3
ass,3
revenge,3
cunning,3
T',3
perhaps,3
dangerous,3
confess,3
too;,3
bestow,3
suffers,3
wish,3
word.,3
suffer,3
fortune,3
sleep,3
sleep.,3
there's,3
thought,,3
now!,3
again;,3
imagination,3
fellows,3
heavens!,3
another.,3
madness.,3
speed,3
fit,,3
send,3
warrant,3
special,3
others.,3
quantity,3
election,3
stop,3
guilt,3
pay,3
die,3
half,3
year.,3
leaves,3
thirty,3
bed.,3
fortune,,3
lord,3
Each,3
hence,3
weeds,3
himself;,3
cannot.,3
heels,3
bless,3
bodies,3
do't.,3
kills,3
sense.,3
mountain,3
charge,,3
vice,3
Nothing,3
next,3
Alack,,3
sponge,,3
England.,3
England,,3
Fortinbras.,3
mark.,3
maid,,3
[Sings],3
Young,3
Mess.,3
Gertrude.,3
patience,3
heard,,3
sight,3
burial.,3
gallows,3
a-,3
skull.],3
knave,3
E'en,3
dust,3
woo't,3
commission;,3
Hamlet],3
six,3
carriages,,3
foils,3
THE,2
OF,2
Claudius,,2
Cornelius,,2
officer.,2
Bernardo,,2
Francisco,,2
soldier,2
Reynaldo,,2
servant,2
Clowns,,2
English,2
Ambassadors.,2
Lords,,2
Sailors,,2
Attendants.,2
[who,2
then],2
him].,2
Stand,2
unfold,2
Long,2
twelve.,2
bed,,2
thanks.,2
bitter,2
cold,,2
haste.,2
there?,2
Friends,2
Bernardo,2
place.,2
?,2
to-night?,2
Touching,2
apparition,2
approve,2
ears,,2
seen.,2
burns,,2
bell,2
beating,2
one-,2
spoke,2
to.,2
Speak,,2
answer.,2
Horatio?,2
tremble,2
pale.,2
on't?,2
thyself.,2
armour,2
ambitious,2
Norway,2
strange.,2
jump,2
hour,,2
not;,2
scope,2
knows,,2
strict,2
subject,2
divide,2
day?,2
inform,2
whisper,2
valiant,2
(For,2
Fortinbras;,2
king;,2
as,,2
full,,2
lawless,2
appear,2
lost;,2
source,2
figure,2
trouble,2
mind's,2
high,2
Julius,2
graves,2
Roman,2
stars,2
Neptune's,2
empire,2
doomsday,2
fates,2
prologue,2
Lo,,2
blast,2
sound,,2
Stay,,2
here!,2
gone!,2
wrong,,2
offer,2
violence;,2
blows,2
malicious,2
morn,,2
Some,2
takes,,2
look,,2
dew,2
Hamlet;,2
loves,,2
Attendant.,2
woe,,2
discretion,2
remembrance,2
ourselves.,2
joy,,2
marriage,,2
equal,2
scale,2
freely,2
affair,2
weak,2
worth,,2
ourself,2
scarcely,2
nephew's,2
suppress,2
gait,2
You,,2
bearers,2
Giving,2
[Gives,2
paper.],2
duty.,2
Volt.,2
farewell.,2
Cornelius.,2
voice.,2
France;,2
willingly,2
bow,2
leave?,2
hath,,2
Time,2
thine,,2
will!,2
cousin,2
clouds,2
sun.,2
colour,2
Seek,2
know'st,2
common.,2
die,,2
suits,2
forc'd,2
visage,,2
forms,,2
actions,2
play;,2
lost,,2
obligation,2
term,2
grief;,2
sense,,2
opposition,2
theme,2
fathers,,2
corse,2
died,2
'This,2
immediate,2
dearest,2
going,2
Wittenberg,,2
remain,2
courtier,,2
son.,2
prayers,,2
reply.,2
smiling,2
drinks,2
fix'd,2
world!,2
Fie,2
garden,2
dead!,2
two.,2
earth!,2
fed,2
on;,2
followed,2
she,,2
(O,2
beast,2
wants,2
married,2
brother,,2
Ere,2
left,2
incestuous,2
myself.,2
ever.,2
even,,2
violence,2
Elsinore?,2
prithee,2
thrift,,2
funeral,2
coldly,2
who?,2
middle,2
Been,2
march,2
Goes,2
secrecy,2
third,2
thing,,2
good,,2
methought,2
motion,,2
speak;,2
true;,2
sirs.,2
Arm'd,,2
face?,2
Pale,2
like,,2
long?,2
no?,2
sable,2
hitherto,2
still;,2
to-night,,2
loves.,2
fare,2
'twixt,2
[all,2
arms?,2
sleep,,2
fashion,,2
toy,2
sweet,,2
perfume,2
weigh'd,,2
depends,2
fits,2
open,2
affection,,2
danger,2
prodigal,2
moon.,2
canker,2
galls,2
spring,2
disclos'd,,2
wary,2
then;,2
fear.,2
long.,2
sits,2
shoulder,2
sail,,2
stay'd,2
thee!,2
few,2
character.,2
act.,2
Those,2
palm,2
purse,2
proclaims,2
station,2
generous,,2
be;,2
edge,2
above,2
all-,2
true,,2
follow,,2
canst,2
tenders,2
you!,2
baby,2
ta'en,2
(not,2
honourable,2
to,,2
to!,2
holy,2
vows,2
catch,2
daughter,,2
heat,,2
maiden,2
Set,2
show,,2
terms,,2
moment,2
leisure,2
talk,2
ways.,2
eager,2
struck.,2
draws,2
held,2
flourish,2
Rhenish,2
chances,2
wherein,2
guilty,,2
reason,,2
stamp,2
defect,,2
livery,,2
virtues,2
pure,2
substance,2
Look,,2
steel,,2
moon,,2
horridly,2
shake,2
beyond,2
Say,,2
beckons,2
alone.,2
summit,2
sea,,2
brain,2
petty,2
ghost,2
after.,2
issue,2
rotten,2
flames,2
revenge,,2
fast,2
forbid,2
stars,,2
eternal,2
list,,2
love-,2
Revenge,2
unnatural,2
murther.,2
Murther,2
foul,,2
swift,2
sweep,2
shouldst,2
sleeping,2
orchard,,2
serpent,2
youth,,2
sting,2
wears,2
incestuous,,2
beast,,2
witchcraft,2
wit,2
queen.,2
vow,2
gifts,2
virtue,,2
sate,2
secure,2
smooth,2
contrive,2
aught.,2
bosom,2
Adieu,,2
hold,,2
distracted,2
wipe,2
brain,,2
baser,2
villain,,2
Meet,2
smile,,2
are.,2
arrant,2
knave.,2
desire,,2
pray.,2
wild,2
words,,2
sorry,2
may.,2
soldiers,,2
stage.,2
Art,2
on!,2
oath,,2
fast?,2
Once,2
never,,2
odd,2
could,,2
me-,2
mercy,2
willing,,2
together.,2
money,2
said.,2
keep,,2
finding,2
nearer,2
demands,2
'twere,,2
please;,2
dishonour,2
heed,2
wild,,2
gaming,,2
swearing,,2
faults,2
here's,2
fetch,2
laying,2
working,,2
closes,2
'Good,2
this-,2
say?,2
'closes,2
so,',2
thus:,2
See,2
former,2
advice,,2
ye,2
Observe,2
